Catégorie;Désignation;Unité;Prix TTC (Ar);Fournisseur;Ville;Région;Disponibilité;Date du prix;Source
Plancher;Hourdis 20×20×53;pièce;4100.0;Akora;Antananarivo;Analamanga;Marché 4 dépôts;2026-09-05;Akora
Plancher;Hourdis 12×33×33;pièce;2500.0;Akora;Antananarivo;Analamanga;Marché 4 dépôts;2026-09-05;Akora
Plancher;Hourdis 15×33×33;pièce;2800.0;Akora;Antananarivo;Analamanga;Marché 4 dépôts;2026-09-05;Akora
Plancher;Hourdis 20×33×33;pièce;3400.0;Akora;Antananarivo;Analamanga;Marché 4 dépôts;2026-09-05;Akora
Acier / ferraillage;Fer à béton Ø8;barre;22920.0;ABC/Bricorama;Antananarivo;Analamanga;Publié en ligne;2026-09-18;ASTM A615 / BS 4449 + calcul masse nominale
Acier / ferraillage;Fer à béton Ø10;barre;37200.0;ABC/Bricorama;Antananarivo;Analamanga;Publié en ligne;2026-09-18;ASTM A615 / BS 4449 + calcul masse nominale
Acier / ferraillage;Fer à béton Ø12;barre;52800.0;ABC/Bricorama;Antananarivo;Analamanga;Publié en ligne;2026-09-18;ASTM A615 / BS 4449 + calcul masse nominale
Acier / ferraillage;Fer à béton Ø14;barre;101100.0;ABC/Bricorama;Antananarivo;Analamanga;Publié en ligne;2026-09-18;ASTM A615 / BS 4449 + calcul masse nominale
Acier / ferraillage;Fer à béton Ø16;barre;132000.0;ABC/Bricorama;Antananarivo;Analamanga;Publié en ligne;2026-09-18;ASTM A615 / BS 4449 + calcul masse nominale
Acier / ferraillage;Fer à béton Ø20;barre;206400.0;ABC/Bricorama;Antananarivo;Analamanga;Publié en ligne;2026-09-18;ASTM A615 / BS 4449 + calcul masse nominale
Acier / ferraillage;Fer à béton Ø25;barre;293000.0;Batimax;Antananarivo;Analamanga;Publié en ligne;2026-09-18;ASTM A615 / BS 4449 + calcul masse nominale
Acier / profilé;Fer cornière 40×40×3;barre;74400.0;ABC/Bricorama;Antananarivo;Analamanga;Publié;2026-09-18;ABC/Bricorama
Acier / profilé;Fer cornière 40×40×4;barre;91200.0;ABC/Bricorama;Antananarivo;Analamanga;Publié;2026-09-18;ABC/Bricorama
Acier / profilé;Fer cornière 50×50×5;barre;144000.0;ABC/Bricorama;Antananarivo;Analamanga;Publié;2026-09-18;ABC/Bricorama
Acier / profilé;Fer cornière 60×60×6;barre;212400.0;ABC/Bricorama;Antananarivo;Analamanga;Publié;2026-09-18;ABC/Bricorama
Acier / profilé;Fer cornière 80×80×8;barre;403100.0;ABC/Bricorama;Antananarivo;Analamanga;Publié;2026-09-18;ABC/Bricorama
Acier / profilé;Fer cornière 100×100×10;barre;642000.0;ABC/Bricorama;Antananarivo;Analamanga;Publié;2026-09-18;ABC/Bricorama
Acier / profilé;Fer carré 8×8;barre;19500.0;ABC/Bricorama;Antananarivo;Analamanga;Publié;2026-09-18;ABC/Bricorama
Acier / profilé;Fer carré 10×10;barre;28600.0;ABC/Bricorama;Antananarivo;Analamanga;Publié;2026-09-18;ABC/Bricorama
Acier / profilé;Fer carré 12×12;barre;42000.0;ABC/Bricorama;Antananarivo;Analamanga;Publié;2026-09-18;ABC/Bricorama
Acier / profilé;Fer plat 30×4;barre;35150.0;Sanifer;Antananarivo;Analamanga;Prix web -5%;2026-09-18;Sanifer
Acier / profilé;Fer plat 25×3;barre;19950.0;Sanifer;Antananarivo;Analamanga;Prix web -5%;2026-09-18;Sanifer
Acier / profilé;Fer T 20×20×3;barre;36100.0;Sanifer;Antananarivo;Analamanga;Prix web -5%;2026-09-18;Sanifer
Acier / profilé;Tube rond 25×1,2;barre;24700.0;Sanifer;Antananarivo;Analamanga;Prix web -5%;2026-09-18;Sanifer
Acier / profilé;Tube carré galvanisé 30×30×1,5;barre;55100.0;Sanifer;Antananarivo;Analamanga;Prix web -5%;2026-09-18;Sanifer
Acier / profilé;Panne C 100×50×20×1,5;barre;17955.0;Sanifer;Antananarivo;Analamanga;Prix web -5%;2026-09-18;Sanifer
Acier / profilé;Panne C 100×50×20×2;barre;23940.0;Sanifer;Antananarivo;Analamanga;Prix web -5%;2026-09-18;Sanifer
Acier / structure;IPE 200;barre;2140000.0;Batimax;Antananarivo;Analamanga;Publié;2026-09-18;EN 10365 / ArcelorMittal / table sections
Acier / structure;IPE 220;barre;2580000.0;Batimax;Antananarivo;Analamanga;Publié;2026-09-18;EN 10365 / ArcelorMittal / table sections
Acier / structure;UPN 160;barre;1975500.0;Batimax;Antananarivo;Analamanga;Publié;2026-09-18;EN 10365 / table sections
Acier / structure;UPN 200;barre;2504000.0;Batimax;Antananarivo;Analamanga;Publié;2026-09-18;EN 10365 / table sections
Acier / structure;HEA 180;barre;5112000.0;Batimax;Antananarivo;Analamanga;Publié;2026-09-18;EN 10365 / table sections
Bois / charpente;Bois carré 5×5×4 m;pièce;5000.0;Akora;Antananarivo;Analamanga;Indicatif;2026-09-03;Akora
Bois / charpente;Bois carré 6×6×4 m;pièce;8000.0;Akora;Antananarivo;Analamanga;Indicatif;2026-09-03;Akora
Bois / charpente;Bois carré 8×8×4 m;pièce;12000.0;Akora;Antananarivo;Analamanga;Indicatif;2026-09-03;Akora
Bois / charpente;Chevron 8×8×4 m;pièce;9000.0;Akora;Antananarivo;Analamanga;Indicatif;2026-09-03;Akora
Bois / charpente;Madrier 6×10×4 m;pièce;25000.0;Akora;Antananarivo;Analamanga;Indicatif;2026-09-03;Akora
Bois / charpente;Madrier 7×15×4 m;pièce;35000.0;Akora;Antananarivo;Analamanga;Indicatif;2026-09-03;Akora
Bois / charpente;Madrier 7×17×4 m;pièce;38000.0;Akora;Antananarivo;Analamanga;Indicatif;2026-09-03;Akora
Bois / charpente;Planche 1,5×10×4 m;pièce;4700.0;Akora;Antananarivo;Analamanga;Indicatif;2026-09-03;Akora
Bois / charpente;Planche 1,5×12×4 m;pièce;5300.0;Akora;Antananarivo;Analamanga;Indicatif;2026-09-03;Akora
Bois / charpente;Planche 2×14×4 m;pièce;9000.0;Akora;Antananarivo;Analamanga;Indicatif;2026-09-06;Akora
Toiture;Tôle ondulée aluzinc gris;feuille;11550.0;Sanifer;Antananarivo;Analamanga;En ligne;2026-09-18;Sanifer
Toiture;Tôle ondulée galvanisée;feuille;8600.0;Sanifer;Antananarivo;Analamanga;En ligne;2026-09-18;Sanifer
Toiture;Tôle prélaquée vert foncé;feuille;14725.0;Sanifer;Antananarivo;Analamanga;Prix web -5%;2026-09-18;Sanifer
Toiture;Tôle bac translucide polycarbonate;feuille;121125.0;Sanifer;Antananarivo;Analamanga;Prix web -5%;2026-09-18;Sanifer
Toiture;Tuile mécanique;pièce;2200.0;Akora;Antananarivo;Analamanga;Indicatif;2026-09-05;Akora
Toiture;Tuile écaille;pièce;500.0;Akora;Antananarivo;Analamanga;Indicatif;2026-09-05;Akora
Étanchéité;Membrane bitume SBS;rouleau;228000.0;Sanifer;Antananarivo;Analamanga;Prix web -5%;2026-09-18;Sanifer
Étanchéité;Sika Bituseal T130;rouleau;290000.0;Sanifer;Antananarivo;Analamanga;En ligne;2026-09-18;Sanifer
Isolation;Laine de verre alu;rouleau;189050.0;Sanifer;Antananarivo;Analamanga;Prix web -5%;2026-09-18;"EN 13162; fiche technique laine minérale de référence"
Plâtrerie / faux plafond;Placoplâtre standard;feuille;69000.0;Sanifer;Antananarivo;Analamanga;En ligne;2026-09-18;"Fiche technique British Gypsum Gyproc WallBoard 12.5 mm; EN 520"
Plâtrerie / faux plafond;Placoplâtre standard 12 mm;feuille;69600.0;Ceramad;Antananarivo;Analamanga;En stock;2026-09-18;"Fiche technique British Gypsum Gyproc WallBoard 12.5 mm; EN 520"
Plâtrerie / faux plafond;Placoplâtre hydrofuge;feuille;75000.0;ABC/Bricorama;Antananarivo;Analamanga;Publié;2026-09-18;ABC/Bricorama
Plâtrerie / faux plafond;Placoplâtre ignifuge;feuille;104400.0;ABC/Bricorama;Antananarivo;Analamanga;Publié;2026-09-18;ABC/Bricorama
Plâtrerie / faux plafond;Enduit placo 4H;sac;56050.0;Sanifer;Antananarivo;Analamanga;Prix web -5%;2026-09-18;Sanifer
Plâtrerie / faux plafond;Vis placo 3,5×35;boîte 1000;64600.0;Sanifer;Antananarivo;Analamanga;Prix web -5%;2026-09-18;Sanifer
Bois / panneaux;Contreplaqué bouleau 6,5 mm;panneau;129000.0;Sanifer;Toamasina;Atsinanana;En ligne;2026-09-18;Sanifer Tamatave
Bois / panneaux;Contreplaqué bakélisé 15 mm;panneau;125200.0;ABC/Bricorama;Antananarivo;Analamanga;Publié;2026-09-18;ABC/Bricorama
Bois / panneaux;OSB3 18 mm;panneau;335000.0;ABC/Bricorama;Antananarivo;Analamanga;Publié;2026-09-18;"Fiche produit OSB/3 18 mm; EN 300"
Carrelage;Carrelage sol 60×60 M66397;m² / emballage;32400.0;Batimax;Antananarivo;Analamanga;En ligne;2026-09-18;BatiMax
Carrelage;Carrelage sol 60×60 M66322;m² / emballage;32400.0;Batimax;Antananarivo;Analamanga;En ligne;2026-09-18;BatiMax
Carrelage;Carrelage sol 60×120 MX62BK1601-18;m² / emballage;139400.0;Batimax;Antananarivo;Analamanga;En ligne;2026-09-18;BatiMax
Carrelage;Carrelage sol 60×60 SPORTA MOKA;m² / emballage;31250.0;Batimax;Antananarivo;Analamanga;En ligne;2026-09-18;BatiMax
Carrelage;Carrelage sol 60×60 603 SR6662;m² / emballage;25200.0;Batimax;Antananarivo;Analamanga;En ligne;2026-09-18;BatiMax
Carrelage;Carrelage 60×60 béton gris clair;carton 4 pcs;90000.0;Ceramad;Antananarivo;Analamanga;En stock;2026-09-18;Ceramad
Carrelage;Faïence blanche;carton 16 pcs;30000.0;Ceramad;Antananarivo;Analamanga;En stock;2026-09-18;Ceramad
Carrelage;Pierre grise;carton 11 pcs;33600.0;Ceramad;Antananarivo;Analamanga;En stock;2026-09-18;Ceramad
Carrelage;Blanc uni;carton 6 pcs;48000.0;Ceramad;Antananarivo;Analamanga;En stock;2026-09-18;Ceramad
Carrelage;Ivoire uni;carton 4 pcs;78000.0;Ceramad;Antananarivo;Analamanga;En stock;2026-09-18;Ceramad
Colle / joint;Ciment colle gris C1TE 25 kg;sac;45000.0;Sanifer Tamatave;Toamasina;Atsinanana;En ligne;2026-09-18;Sanifer Tamatave
Colle / joint;Ciment colle gris SM 25 kg;sac;27000.0;Sanifer Tamatave;Toamasina;Atsinanana;En ligne;2026-09-18;Sanifer Tamatave
Colle / joint;Ciment colle blanc K18 20 kg;sac;42750.0;Sanifer Tamatave;Toamasina;Atsinanana;Prix web -5%;2026-09-18;Sanifer Tamatave
Colle / joint;Ciment joint 5 kg blanc;sac;41300.0;Sanifer Tamatave;Toamasina;Atsinanana;En ligne;2026-09-18;Sanifer Tamatave
Plomberie;Coude PPR Ø40;pièce;2717.0;Sanifer;Antananarivo;Analamanga;Prix web -5%;2026-09-18;ISO 15874-2 / DIN 8077-8078
Plomberie;Collier PPR Ø20;pièce;333.0;Sanifer;Antananarivo;Analamanga;Prix web -5%;2026-09-18;ISO 15874-2 / DIN 8077-8078
Plomberie;"Coude PPR fileté femelle Ø32-1""";pièce;9405.0;Sanifer;Antananarivo;Analamanga;Prix web -5%;2026-09-18;ISO 15874-2 / DIN 8077-8078
Plomberie;"Union pressée filetée 63-2""";pièce;47025.0;Sanifer;Antananarivo;Analamanga;Prix web -5%;2026-09-18;Sanifer
Plomberie;"Manchon galva 20×27 3/4""";pièce;3040.0;Sanifer;Antananarivo;Analamanga;Prix web -5%;2026-09-18;Sanifer
Plomberie;"Manchon galva 26×34 1""";pièce;4940.0;Sanifer;Antananarivo;Analamanga;Prix web -5%;2026-09-18;Sanifer
Plomberie;"Manchon galva 40×49 1 1/2""";pièce;9500.0;Sanifer;Antananarivo;Analamanga;Prix web -5%;2026-09-18;Sanifer
Plomberie;"Manchon galva 50×60 2""";pièce;12350.0;Sanifer;Antananarivo;Analamanga;Prix web -5%;2026-09-18;Sanifer
Plomberie;Téflon PTFE 12 m;rouleau;5225.0;Sanifer;Antananarivo;Analamanga;Prix web -5%;2026-09-18;Sanifer
Plomberie;Gebétanche RT1 eau potable 50 mL;flacon;84550.0;Sanifer;Antananarivo;Analamanga;Prix web -5%;2026-09-18;Sanifer
Quincaillerie;Pointe 100×20;carton;144000.0;Ceramad;Antananarivo;Analamanga;En stock;2026-09-18;Ceramad
Quincaillerie;Pointe 120×20;carton;144000.0;Ceramad;Antananarivo;Analamanga;En stock;2026-09-18;Ceramad
Quincaillerie;Pointe 70×18;carton;144000.0;Ceramad;Antananarivo;Analamanga;En stock;2026-09-18;Ceramad
Quincaillerie;Fil recuit noir 5 kg;rouleau;36000.0;Ceramad;Antananarivo;Analamanga;En stock;2026-09-18;Ceramad
Quincaillerie;Vis autoforeuse TF 4,8×32 inox A2;pièce;314.0;Sanifer;Antananarivo;Analamanga;Prix web -5%;2026-09-18;Sanifer
Quincaillerie;Cheville laiton 6×40;boîte 100;112500.0;ABC/Bricorama;Antananarivo;Analamanga;Publié;2026-09-18;ABC/Bricorama
Quincaillerie;Tige filetée Ø16×1 m;pièce;24700.0;Sanifer;Antananarivo;Analamanga;Prix web -5%;2026-09-18;ASTM A615 / BS 4449 + calcul masse nominale
Granulats;Cailloux concassés 25/40;m³;72500.0;Akora;Antananarivo;Analamanga;Indicatif / 2 dépôts;2026-09-05;Akora
Granulats;Gravillon 10/20;m³;124000.0;Akora;Antananarivo;Analamanga;Indicatif / 2 dépôts;2026-09-05;Akora
Granulats;Gravillon 15/25;m³;111500.0;Akora;Antananarivo;Analamanga;Marché / 4 dépôts;2026-09-05;Akora
Granulats;Gravillon 5/15;m³;120000.0;Akora;Antananarivo;Analamanga;Indicatif;2026-09-05;Akora
Granulats;Sable de rivière;m³;52500.0;Akora;Antananarivo;Analamanga;Marché / 2 dépôts;2026-09-05;Akora
Granulats;Remblai;m³;25000.0;Akora;Antananarivo;Analamanga;Indicatif;2026-09-05;Akora
VRD / préfabrication;Bordure trottoir 100×15×25;pièce;49500.0;Béton Ouest;Mahajanga;Boeny;Ancien relevé à revalider;2026-07-31;Béton Ouest
VRD / préfabrication;Bordure caniveau U;pièce;42372.0;Béton Ouest;Mahajanga;Boeny;Ancien relevé à revalider;2026-07-31;Béton Ouest
VRD / préfabrication;Agglo à bancher 15×20×50;pièce;4250.0;Béton Ouest;Mahajanga;Boeny;Ancien relevé à revalider;2026-07-31;Béton Ouest
VRD / préfabrication;Agglo à bancher 20×20×50;pièce;5000.0;Béton Ouest;Mahajanga;Boeny;Ancien relevé à revalider;2026-07-31;Béton Ouest
Location / engins;Bétonnière 450 L;8 h;400000.0;Béton Ouest;Mahajanga;Boeny;Ancien relevé à revalider;2026-07-31;Béton Ouest
Location / engins;Bétonnière 150 L;8 h;300000.0;Béton Ouest;Mahajanga;Boeny;Ancien relevé à revalider;2026-07-31;Béton Ouest
Location / engins;Échafaudage;8 h;30000.0;Béton Ouest;Mahajanga;Boeny;Ancien relevé à revalider;2026-07-31;Béton Ouest
Location / engins;Compacteur;8 h;1005000.0;Béton Ouest;Mahajanga;Boeny;Ancien relevé à revalider;2026-07-31;Béton Ouest
Plomberie;Tuyau PPR Ø20;barre 4 m;11305;Sanifer;Antananarivo;Analamanga;;2026-09-18;https://www.sanifer.mg/tubes-ppr/18015-ppr-tube-4ml-d20mm-gris-ep28mm-0415000.html
Plomberie;Tuyau PPR Ø25;barre 4 m;16000;Sanifer;Antananarivo;Analamanga;;2026-09-18;https://www.sanifer.mg/tubes-ppr/18016-ppr-tube-4ml-d25mm-gris-ep34mm-0415003.html
Plomberie;Tuyau PPR Ø32;barre 4 m;28000;Sanifer;Antananarivo;Analamanga;;2026-09-18;https://www.sanifer.mg/tubes-ppr/18017-ppr-tube-4ml-d32mm-gris-ep44mm-0415004.html
Plomberie;Tuyau PPR Ø40;barre 4 m;39900;Sanifer;Antananarivo;Analamanga;;2026-09-18;https://www.sanifer.mg/tubes-ppr/18253-ppr-tube-4ml-d40mm-gris-ep5mm-0415005.html
Plomberie;Coude PPR 90° Ø32;pièce;1425;Sanifer;Antananarivo;Analamanga;En stock (livraison express);2026-09-18;https://www.sanifer.mg/eligible-a-la-livraison-express/18031-coude-ppr-gris-90-d32mm-0415025.html
Plomberie;"Coude PPR fileté femelle Ø20-1/2""";pièce;4703;Sanifer;Antananarivo;Analamanga;En stock (livraison express);2026-09-18;https://www.sanifer.mg/eligible-a-la-livraison-express/18055-coude-ppr-gris-filet-fem-d20mm-1-2-0415066.html
Plomberie;"Coude PPR fileté femelle Ø25-1/2""";pièce;5225;Sanifer;Antananarivo;Analamanga;En stock (livraison express);2026-09-18;https://www.sanifer.mg/coudes-ppr/18057-coude-ppr-gris-filet-fem-d25mm-1-2-0415072.html
Plomberie;Té PPR Ø25;pièce;1330;Sanifer;Antananarivo;Analamanga;En stock (livraison express);2026-09-18;https://www.sanifer.mg/tes-ppr/18041-te-egal-ppr-gris-d25mm-0415042.html
Plomberie;Té PPR Ø40;pièce;3800;Sanifer;Antananarivo;Analamanga;En stock (livraison express);2026-09-18;https://www.sanifer.mg/tes-ppr/18254-te-egal-ppr-gris-diam-40-0415212.html
Plomberie;"Union PPR mâle Ø20-1/2""";pièce;9025;Sanifer;Antananarivo;Analamanga;En stock (livraison express);2026-09-18;https://www.sanifer.mg/vannes-raccords-ppr/18078-raccord-union-male-ppr-d20-1-2m-0415129.html
Plomberie;Union PPR Ø25;pièce;4275;Sanifer;Antananarivo;Analamanga;En stock (livraison express);2026-09-18;https://www.sanifer.mg/vannes-raccords-ppr/18082-raccord-union-ppr-gris-d25x25mm-0415139.html
Plomberie;Union PPR Ø32;pièce;11400;Sanifer;Antananarivo;Analamanga;En stock (livraison express);2026-09-18;https://www.sanifer.mg/vannes-raccords-ppr/18084-raccord-union-ppr-gris-d32x32mm-0415142.html
Plomberie;Union PPR Ø40;pièce;5225;Sanifer;Antananarivo;Analamanga;En stock (livraison express);2026-09-18;https://www.sanifer.mg/vannes-raccords-ppr/18281-raccord-union-ppr-diam40-0415250.html
Plomberie;Tuyau PVC-U Ø32 évacuation;barre 5,80 m;29000;Sanifer;Antananarivo;Analamanga;;2026-09-18;https://www.sanifer.mg/tubes-pvc/17804-tuyau-pvc-d32-evacuation-580ml-0410040.html
Plomberie;Tuyau PVC-U Ø40 évacuation;pièce;39000;Sanifer;Antananarivo;Analamanga;;2026-09-18;https://www.sanifer.mg/tubes-pvc/17805-tuyau-pvc-d40-evacuation-580ml-0410042.html
Plomberie;Tuyau PVC-U Ø50 évacuation;barre 5,80 m;59000;Sanifer;Antananarivo;Analamanga;;2026-09-18;https://www.sanifer.mg/tubes-pvc/17807-tuyau-pvc-d50-evacuation-580ml-0410044.html
Plomberie;Tuyau PVC-U Ø63 évacuation;barre 5,80 m;79000;Sanifer;Antananarivo;Analamanga;;2026-09-18;https://www.sanifer.mg/tubes-pvc/17808-tuyau-pvc-d63-evacuation-580ml-0410045.html
Plomberie;Tuyau PVC-U Ø100 évacuation;barre 5,80 m;70000;Sanifer;Antananarivo;Analamanga;;2026-09-18;https://www.sanifer.mg/tubes-pvc/17817-tuyau-pvc-d100-2mm-58ml-evacuation-0410056.html
Plomberie;Tuyau PVC-U Ø25 pression PN16;barre 5,80 m;24000;Sanifer;Antananarivo;Analamanga;;2026-09-18;https://www.sanifer.mg/tuyaux-pvc-pression/17891-tuyau-pvc-d25-pression-pn16-580ml-0411130.html
Plomberie;Tuyau PVC-U Ø50 pression PN16;barre 5,80 m;95000;Sanifer;Antananarivo;Analamanga;;2026-09-18;https://www.sanifer.mg/tuyaux-pvc-pression/17895-tuyau-pvc-d50-pression-pn16-580ml-0411135.html
Plomberie;Tuyau PVC-U Ø63 pression PN16;barre 5,80 m;150000;Sanifer;Antananarivo;Analamanga;;2026-09-18;https://www.sanifer.mg/tuyaux-pvc-pression/17907-tuyau-pvc-d63-pression-pn16-580ml-0411171.html
Plomberie;Coude PVC-U 87° Ø100;pièce;14250;Sanifer;Antananarivo;Analamanga;En stock (livraison express);2026-09-18;https://www.sanifer.mg/eligible-a-la-livraison-express/17117-coude-87-mf-diam-100-0410220.html
Plomberie;Té PVC-U 87° Ø100;pièce;19855;Sanifer;Antananarivo;Analamanga;En stock (livraison express);2026-09-18;https://www.sanifer.mg/tes-pvc/17129-te-87-m-f-diam-100-0410240.html
Plomberie;Té PVC-U 87° Ø40;pièce;4750;Sanifer;Antananarivo;Analamanga;En stock (livraison express);2026-09-18;https://www.sanifer.mg/eligible-a-la-livraison-express/17048-te-pvc-a-coller-87-femelle-femelle-d40mm--0410013.html
Plomberie;Coude à pression Ø50 (adduction PE/PPR);pièce;8550;Sanifer;Antananarivo;Analamanga;En stock (livraison express);2026-09-18;https://www.sanifer.mg/coudes-pression/17227-coude-pression-90-d50-0411151.html
Plomberie;Coude à pression Ø63 (adduction PE/PPR);pièce;17100;Sanifer;Antananarivo;Analamanga;En stock (livraison express);2026-09-18;https://www.sanifer.mg/coudes-pression/17228-coude-pression-90-d63-0411152.html
Plomberie;Robinet d'arrêt droit chromé;pièce;27645;Sanifer;Antananarivo;Analamanga;;2026-09-18;https://www.sanifer.mg/equipements-de-chasse-toilettes/31762-robinet-d-arret-droit-chrome-0427080.html
Plomberie;"Robinet d'arrêt équerre 3/8"" laiton";pièce;14000;Sanifer;Antananarivo;Analamanga;;2026-09-18;https://www.sanifer.mg/equipements-de-chasse-toilettes/31746-robinet-d-arret-equerre-3-8-laiton-r21-0440014.html
Plomberie;Coude 90° Ø20 (matière non précisée);pièce;13700;Batimax;Antananarivo;Analamanga;;2026-09-18;https://www.batimax-mada.com/shop/qup327-coude-90%C3%B820-mm2110210079-75114
Plomberie;Coude PVC 90° Ø50;pièce;1500;Batimax;Antananarivo;Analamanga;;2026-09-18;https://www.batimax-mada.com/shop/product/qup040-coude-pvc-90-50-45158
Électricité;Fil électrique rigide 2,5 mm² rouge;rouleau 100 m;320000;ABC/Bricorama;Antananarivo;Analamanga;En stock;2026-09-18;https://www.abc.mg/product/75016
Électricité;Fil électrique souple 1,5 mm² jaune/vert;rouleau 25 m;93518;ABC/Bricorama;Antananarivo;Analamanga;En stock;2026-09-18;https://www.abc.mg/product/71851
Électricité;Fil électrique H07V-U 1,5 mm² (10 m);rouleau 10 m;39590;ABC/Bricorama;Antananarivo;Analamanga;;2026-09-18;https://www.abc.mg/product/list/categ/52817
Électricité;Fil électrique H07V-U 2,5 mm² (25 m);rouleau 25 m;129791;ABC/Bricorama;Antananarivo;Analamanga;;2026-09-18;https://www.abc.mg/product/list/categ/52817
Électricité;Fil électrique H07V-U 1,5 mm² (100 m);rouleau 100 m;264290;ABC/Bricorama;Antananarivo;Analamanga;;2026-09-18;https://www.abc.mg/product/list/categ/52817
Électricité;Gaine ICTA Ø16 (100 m);rouleau 100 m;282801;ABC/Bricorama;Antananarivo;Analamanga;En stock;2026-09-18;https://www.abc.mg/product/75208
Électricité;Gaine ICTA Ø16 (25 m);rouleau 25 m;79394;ABC/Bricorama;Antananarivo;Analamanga;En stock;2026-09-18;https://www.abc.mg/product/75206
Électricité;Conduit ICTA Ø25 (50 m);rouleau 50 m;90000;ABC/Bricorama;Antananarivo;Analamanga;En stock;2026-09-18;https://www.abc.mg/product/76670
Électricité;Gaine ICTA Ø20 avec tire-fil (5 m);rouleau 5 m;35040;ABC/Bricorama;Antananarivo;Analamanga;;2026-09-18;https://www.abc.mg/product/list/categ/52819
Électricité;Gaine ICTA Ø25 avec tire-fil (10 m);rouleau 10 m;55768;ABC/Bricorama;Antananarivo;Analamanga;;2026-09-18;https://www.abc.mg/product/list/categ/52819
Électricité;Gaine ICTA Ø25 avec tire-fil (5 m);rouleau 5 m;28905;ABC/Bricorama;Antananarivo;Analamanga;;2026-09-18;https://www.abc.mg/product/list/categ/52819
Électricité;Interrupteur va-et-vient Artezo;pièce;12000;ABC/Bricorama;Antananarivo;Analamanga;;2026-09-18;https://www.abc.mg/product/list/categ/52819
Électricité;Double interrupteur va-et-vient Artezo;pièce;19260;ABC/Bricorama;Antananarivo;Analamanga;;2026-09-18;https://www.abc.mg/product/list/categ/52819
Électricité;Bouton poussoir Artezo;pièce;12840;ABC/Bricorama;Antananarivo;Analamanga;;2026-09-18;https://www.abc.mg/product/list/categ/52819
Électricité;Prise 2P+T 16A Artezo;pièce;36380;ABC/Bricorama;Antananarivo;Analamanga;;2026-09-18;https://www.abc.mg/product/list/categ/52819
Électricité;Double prise 2P+T 16A Artezo;pièce;153010;ABC/Bricorama;Antananarivo;Analamanga;;2026-09-18;https://www.abc.mg/product/list/categ/52819
Électricité;Prise 2P+T + USB Artezo;pièce;126474;ABC/Bricorama;Antananarivo;Analamanga;;2026-09-18;https://www.abc.mg/product/list/categ/52819
Électricité;Interrupteur simple étanche encastré YAKI;pièce;6000;Bricodis;Antananarivo;Analamanga;Rupture de stock;2026-09-18;https://www.bricodis.mg/product/interrupteur-simple-etanche-encastre-yaki/
